House Vote #391 2023-09-14T15:56:00 - H.R. 1435: Preserving Choice in Vehicle Purchases Act
person,state,district,vote,name,party
400004,AL,4,Yea,Rep. Robert Aderholt [R],Republican
400030,GA,2,Nay,Rep. Sanford Bishop [D],Democrat
400033,OR,3,Nay,Rep. Earl Blumenauer [D],Democrat
400052,TX,26,Yea,Rep. Michael Burgess [R],Republican
400057,CA,41,Yea,Rep. Ken Calvert [R],Republican
400068,TX,31,Yea,Rep. John R. Carter [R],Republican
400069,HI,1,Nay,Rep. Ed Case [D],Democrat
400075,SC,6,Nay,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Yea,Rep. Tom Cole [R],Republican
400093,IL,7,Nay,Rep. Danny Davis [D],Democrat
400101,CO,1,Nay,Rep. Diana DeGette [D],Democrat
400103,CT,3,Nay,Rep. Rosa DeLauro [D],Democrat
400108,FL,26,Not Voting,Rep. Mario Diaz-Balart [R],Republican
400111,TX,37,Nay,Rep. Lloyd Doggett [D],Democrat
400124,CA,16,Nay,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Yea,Rep. Kay Granger [R],Republican
400158,MO,6,Yea,Rep. Sam Graves [R],Republican
400162,AZ,7,Nay,Rep. Raúl Grijalva [D],Democrat
400189,MD,5,Not Voting,Rep. Steny Hoyer [D],Democrat
400196,CA,48,Yea,Rep. Darrell Issa [R],Republican
400199,TX,18,Not Voting,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400211,OH,9,Nay,Rep. Marcy Kaptur [D],Democrat
400232,WA,2,Nay,Rep. Rick Larsen [D],Democrat
400233,CT,1,Nay,Rep. John Larson [D],Democrat
400237,CA,12,Nay,Rep. Barbara Lee [D],Democrat
400245,CA,18,Nay,Rep. Zoe Lofgren [D],Democrat
400247,OK,3,Not Voting,Rep. Frank Lucas [R],Republican
400249,MA,8,Nay,Rep. Stephen Lynch [D],Democrat
400259,MN,4,Nay,Rep. Betty McCollum [D],Democrat
400263,MA,2,Nay,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,Not Voting,Rep. Gregory Meeks [D],Democrat
400289,NY,12,Nay,Rep. Jerrold Nadler [D],Democrat
400290,CA,31,Nay,Rep. Grace Napolitano [D],Democrat
400291,MA,1,Nay,Rep. Richard Neal [D],Democrat
400308,NJ,6,Nay,Rep. Frank Pallone [D],Democrat
400309,NJ,9,Nay,"Rep. Bill Pascrell [D, 2013-2024]",Democrat
400314,CA,11,Nay,Rep. Nancy Pelosi [D],Democrat
400340,KY,5,Yea,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,Yea,Rep. Mike Rogers [R],Republican
400349,MD,2,Nay,Rep. A. Dutch Ruppersberger [D],Democrat
400355,CA,38,Nay,Rep. Linda Sánchez [D],Democrat
400360,IL,9,Nay,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,CA,30,Nay,Rep. Adam Schiff [D],Democrat
400363,GA,13,Nay,Rep. David Scott [D],Democrat
400364,VA,3,Nay,Rep. Robert “Bobby” Scott [D],Democrat
400367,TX,17,Yea,Rep. Pete Sessions [R],Republican
400371,CA,32,Nay,Rep. Brad Sherman [D],Democrat
400376,ID,2,Yea,Rep. Michael “Mike” Simpson [R],Republican
400379,WA,9,Nay,Rep. Adam Smith [D],Democrat
400380,NJ,4,Yea,Rep. Christopher “Chris” Smith [R],Republican
400402,MS,2,Nay,Rep. Bennie Thompson [D],Democrat
400403,CA,4,Nay,Rep. Mike Thompson [D],Democrat
400411,OH,10,Yea,Rep. Michael Turner [R],Republican
400416,NY,7,Not Voting,Rep. Nydia Velázquez [D],Democrat
400422,CA,43,Nay,Rep. Maxine Waters [D],Democrat
400433,SC,2,Yea,Rep. Joe Wilson [R],Republican
400618,CA,21,Yea,Rep. Jim Costa [D],Democrat
400623,FL,25,Nay,Rep. Debbie Wasserman Schultz [D],Democrat
400639,MO,5,Nay,Rep. Emanuel Cleaver [D],Democrat
400641,NY,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat
400643,NC,5,Yea,Rep. Virginia Foxx [R],Republican
400644,NC,10,Yea,Rep. Patrick McHenry [R],Republican
400653,TX,9,Nay,Rep. Al Green [D],Democrat
400654,TX,10,Not Voting,Rep. Michael McCaul [R],Republican
400657,TX,28,Yea,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Yea,Rep. Cathy Anne McMorris Rodgers [R],Republican
400661,WI,4,Nay,Rep. Gwen Moore [D],Democrat
400663,CA,7,Nay,Rep. Doris Matsui [D],Democrat
407672,MD,7,Nay,Rep. Kweisi Mfume [D],Democrat
412190,CA,20,Yea,"Rep. Kevin McCarthy [R, 2023-2023]",Republican
412191,CO,5,Yea,Rep. Doug Lamborn [R],Republican
412193,CT,2,Nay,Rep. Joe Courtney [D],Democrat
412195,FL,14,Nay,Rep. Kathy Castor [D],Democrat
412196,FL,16,Yea,Rep. Vern Buchanan [R],Republican
412199,GA,4,Nay,Rep. Henry C. “Hank” Johnson [D],Democrat
412212,MD,3,Nay,Rep. John Sarbanes [D],Democrat
412213,MI,5,Yea,Rep. Tim Walberg [R],Republican
412217,NE,3,Yea,Rep. Adrian Smith [R],Republican
412221,NY,9,Nay,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Yea,Rep. Jim Jordan [R],Republican
412236,TN,9,Not Voting,Rep. Steve Cohen [D],Democrat
412250,FL,12,Yea,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Yea,Rep. Robert Wittman [R],Republican
412256,OH,5,Yea,Rep. Robert Latta [R],Republican
412257,IL,11,Nay,Rep. Bill Foster [D],Democrat
412258,IN,7,Nay,Rep. André Carson [D],Democrat
412261,LA,1,Yea,Rep. Steve Scalise [R],Republican
412272,VA,11,Nay,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Yea,Rep. Brett Guthrie [R],Republican
412282,CT,4,Nay,Rep. James “Jim” Himes [D],Democrat
412292,MO,3,Yea,Rep. Blaine Luetkemeyer [R],Republican
412295,CA,5,Yea,Rep. Tom McClintock [R],Republican
412307,ME,1,Not Voting,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Yea,Rep. Bill Posey [R],Republican
412317,PA,15,Yea,Rep. Glenn Thompson [R],Republican
412318,NV,1,Nay,Rep. Dina Titus [D],Democrat
412319,NY,20,Nay,Rep. Paul Tonko [D],Democrat
412331,IL,5,Nay,Rep. Mike Quigley [D],Democrat
412379,CA,28,Nay,Rep. Judy Chu [D],Democrat
412382,CA,8,Nay,Rep. John Garamendi [D],Democrat
