person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
400347,CA,40,Yea,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,Lucille Roybal-Allard D-CA,reproybalallard,CA,D
400349,MD,2,Yea,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,"Ruppersberger, C. A. Dutch",call_me_dutch,MD,D
400350,IL,1,Yea,"Rep. Bobby Rush [D, 1993-2022]",Democrat,Bobby Rush D-IL,repbobbyrush,IL,D
400352,OH,13,Yea,"Rep. Tim Ryan [D, 2013-2022]",Democrat,Tim Ryan D-OH,reptimryan,OH,D
400355,CA,38,Yea,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,"Sánchez, Linda",replindasanchez,CA,D
400360,IL,9,Yea,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,Jan Schakowsky D-IL,repschakowsky,IL,D
400361,CA,28,Yea,"Rep. Adam Schiff [D, 2013-2022]",Democrat,Adam Schiff D-CA,repadamschiff,CA,D
400363,GA,13,Yea,"Rep. David Scott [D, 2003-2024]",Democrat,David Scott D-GA,repdavidscott,GA,D
400364,VA,3,Yea,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,"Scott, Bobby",bobbyscott,VA,D
400367,TX,17,Nay,"Rep. Pete Sessions [R, 2021-2024]",Republican,"Sessions, Pete",petesessions,TX,R
400371,CA,30,Yea,"Rep. Brad Sherman [D, 2013-2022]",Democrat,"Sherman, Brad",bradsherman,CA,D
400376,ID,2,Nay,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,"Simpson, Mike",congmikesimpson,ID,R
400379,WA,9,Yea,"Rep. Adam Smith [D, 1997-2024]",Democrat,Adam Smith D-WA,repadamsmith,WA,D
400380,NJ,4,Nay,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,Chris Smith R-NJ,repchrissmith,NJ,R
400402,MS,2,Yea,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,"Thompson, Bennie ",benniegthompson,MS,D
400403,CA,5,Yea,"Rep. Mike Thompson [D, 2013-2022]",Democrat,Mike Thompson D-CA,repthompson,CA,D
400411,OH,10,Nay,"Rep. Michael Turner [R, 2013-2024]",Republican,Mike Turner R-OH,repmiketurner,OH,R
