person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
400253,MA,,Nay,Sen. Edward “Ed” Markey [D],Democrat,Ed Markey D-MA,senmarkey,MA,D
400272,NJ,,Nay,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat,"Menendez, Bob",senatormenendez,NJ,D
400284,KS,,Yea,Sen. Jerry Moran [R],Republican,"Moran, Jerry",jerrymoran,KS,R
400357,VT,,Nay,Sen. Bernard “Bernie” Sanders [I],Independent,Bernard Sanders I-VT,sensanders,VT,I
400415,MD,,Nay,Sen. Chris Van Hollen [D],Democrat,"Van Hollen, Chris",chrisvanhollen,MD,D
400432,MS,,Yea,Sen. Roger Wicker [R],Republican,Roger Wicker R-MS,senatorwicker,MS,R
400546,SD,,Yea,Sen. John Thune [R],Republican,John Thune R-SD,senjohnthune,SD,R
412194,CT,,Nay,Sen. Christopher Murphy [D],Democrat,"Murphy, Christopher",chrismurphyct,CT,D
412200,HI,,Nay,Sen. Mazie Hirono [D],Democrat,"Hirono, Mazie ",maziehirono,HI,D
412223,NY,,Yea,Sen. Kirsten Gillibrand [D],Democrat,"Gillibrand, Kirsten ",sengillibrand,NY,D
412239,VT,,Nay,Sen. Peter Welch [D],Democrat,,,,
412242,MN,,Yea,Sen. Amy Klobuchar [D],Democrat,"Klobuchar, Amy",senamyklobuchar,MN,D
412244,MT,,Nay,Sen. Jon Tester [D],Democrat,Jon Tester D-MT,senatortester,MT,D
412246,PA,,Yea,Sen. Robert “Bob” Casey [D],Democrat,"Casey, Robert Jr.",senbobcasey,PA,D
412247,RI,,Yea,Sen. Sheldon Whitehouse [D],Democrat,Sheldon Whitehouse D-RI,senwhitehouse,RI,D
412251,WY,,Yea,Sen. John Barrasso [R],Republican,"Barrasso, John",senjohnbarrasso,WY,R
412269,LA,,Yea,Sen. Bill Cassidy [R],Republican,Bill Cassidy R-LA,senbillcassidy,LA,R
412281,NM,,Yea,Sen. Martin Heinrich [D],Democrat,"Heinrich, Martin",martinheinrich,NM,D
412293,NM,,Yea,Sen. Ben Ray Luján [D],Democrat,Ben Lujan D-NM,senatorlujan,NM,D
412294,WY,,Nay,Sen. Cynthia Lummis [R],Republican,Cynthia Lummis R-WY,senlummis,WY,R
412305,MI,,Yea,Sen. Gary Peters [D],Democrat,Gary Peters D-MI,sengarypeters,MI,D
412321,VA,,Yea,Sen. Mark Warner [D],Democrat,"Warner, Mark ",markwarner,VA,D
412322,ID,,Yea,Sen. James Risch [R],Republican,Jim Risch R-ID,senatorrisch,ID,R
412323,NH,,Yea,Sen. Jeanne Shaheen [D],Democrat,Jeanne Shaheen D-NH,senatorshaheen,NH,D
412325,OR,,Nay,Sen. Jeff Merkley [D],Democrat,Jeff Merkley D-OR,senjeffmerkley,OR,D
412330,CO,,Yea,Sen. Michael Bennet [D],Democrat,"Bennet, Michael F.",senatorbennet,CO,D
412390,DE,,Yea,Sen. Christopher Coons [D],Democrat,Chris Coons D-DE,sencoonsoffice,DE,D
412391,WV,,Not Voting,Sen. Joe Manchin [I],Democrat,Joseph Manchin D-WV,sen_joemanchin,WV,D
412428,IN,,Yea,Sen. Todd Young [R],Republican,Todd Young R-IN,sentoddyoung,IN,R
412464,OK,,Yea,Sen. James Lankford [R],Republican,James Lankford R-OK,senatorlankford,OK,R
412471,SC,,Nay,Sen. Tim Scott [R],Republican,"Scott, Tim",senatortimscott,SC,R
