person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412827,TX,29,Nay,Rep. Sylvia Garcia [D],Democrat,"Garcia, Sylvia",repsylviagarcia,TX,D
412828,TX,32,Nay,Rep. Colin Allred [D],Democrat,"Allred, Colin",repcolinallred,TX,D
412832,VA,6,Yea,Rep. Ben Cline [R],Republican,Ben Cline R-VA,repbencline,VA,R
412833,VA,7,Nay,Rep. Abigail Spanberger [D],Democrat,Abigail Spanberger D-VA,repspanberger,VA,D
412834,VA,10,Nay,Rep. Jennifer Wexton [D],Democrat,Jennifer Wexton D-VA,repwexton,VA,D
412835,WA,8,Nay,Rep. Kim Schrier [D],Democrat,Kim Schrier D-WA,repkimschrier,WA,D
412836,WI,1,Yea,Rep. Bryan Steil [R],Republican,Bryan Steil R-WI,repbryansteil,WI,R
412837,WV,1,Yea,Rep. Carol Miller [R],Republican,Carol Miller R-WV,repcarolmiller,WV,R
412842,ME,2,Yea,Rep. Jared Golden [D],Democrat,"Golden, Jared",repgolden,ME,D
412844,NC,8,Yea,Rep. Dan Bishop [R],Republican,"Bishop, Dan",repdanbishop,NC,R
412845,NC,3,Yea,Rep. Gregory Murphy [R],Republican,Greg Murphy R-NC,repgregmurphy,NC,R
456791,WI,7,Yea,Rep. Thomas Tiffany [R],Republican,"Tiffany, Thomas ",reptiffany,WI,R
456792,CA,27,Yea,Rep. Mike Garcia [R],Republican,"Garcia, Mike",repmikegarcia,CA,R
456799,AL,1,Yea,Rep. Jerry Carl [R],Republican,"Carl, Jerry ",repjerrycarl,AL,R
456800,AL,2,Yea,Rep. Barry Moore [R],Republican,Barry Moore R-AL,repbarrymoore,AL,R
456801,CA,23,Yea,Rep. Jay Obernolte [R],Republican,Jay Obernolte R-CA,jayobernolte,CA,R
456802,CA,40,Yea,Rep. Young Kim [R],Republican,"Kim, Young",repyoungkim,CA,R
456803,CA,45,Yea,Rep. Michelle Steel [R],Republican,Michelle Steel R-CA,repsteel,CA,R
456804,CA,51,Nay,Rep. Sara Jacobs [D],Democrat,"Jacobs, Sara",repsarajacobs,CA,D
456805,CO,3,Yea,Rep. Lauren Boebert [R],Republican,"Boebert, Lauren",repboebert,CO,R
456806,FL,3,Yea,Rep. Katherine “Kat” Cammack [R],Republican,"Cammack, Kat",repkatcammack,FL,R
456807,FL,18,Yea,Rep. Scott Franklin [R],Republican,"Franklin, C. Scott",repfranklin,FL,R
456808,FL,19,Yea,Rep. Byron Donalds [R],Republican,Byron Donalds R-FL,repdonaldspress,FL,R
456809,FL,28,Yea,Rep. Carlos Gimenez [R],Republican,Carlos Gimenez R-FL,repcarlos,FL,R
456810,FL,27,Yea,Rep. Maria Salazar [R],Republican,Maria Salazar R-FL,repmariasalazar,FL,R
456811,GA,5,Nay,Rep. Nikema Williams [D],Democrat,Nikema Williams D-GA,repnikema,GA,D
456813,GA,9,Nay,Rep. Andrew Clyde [R],Republican,"Clyde, Andrew ",rep_clyde,GA,R
456814,GA,14,Yea,Rep. Marjorie Taylor Greene [R],Republican,"Greene, Marjorie Taylor",repmtg,GA,R
456816,IA,2,Yea,Rep. Ashley Hinson [R],Republican,Ashley Hinson R-IA,repashleyhinson,IA,R
456817,IA,1,Yea,Rep. Mariannette Miller-Meeks [R],Republican,Mariannette Miller-Meeks R-IA,repmmm,IA,R
456818,IA,4,Yea,Rep. Randy Feenstra [R],Republican,"Feenstra, Randy",repfeenstra,IA,R
456820,IL,15,Yea,Rep. Mary Miller [R],Republican,,,,
456821,IN,1,Nay,Rep. Frank Mrvan [D],Democrat,Frank Mrvan D-IN,repmrvan,IN,D
456822,IN,5,Yea,Rep. Victoria Spartz [R],Republican,"Spartz, Victoria",repspartz,IN,R
456823,KS,1,Yea,Rep. Tracey Mann [R],Republican,"Mann, Tracey",repmann,KS,R
456824,KS,2,Not Voting,Rep. Jacob “Jake” LaTurner [R],Republican,Jake LaTurner R-KS,replaturner,KS,R
456825,MA,4,Nay,Rep. Jake Auchincloss [D],Democrat,"Auchincloss, Jake",repauchincloss,MA,D
456827,MI,9,Yea,Rep. Lisa McClain [R],Republican,Lisa McClain R-MI,replisamcclain,MI,R
456828,MN,7,Yea,Rep. Michelle Fischbach [R],Republican,"Fischbach, Michelle",repfischbach,MN,R
456829,MO,1,Nay,Rep. Cori Bush [D],Democrat,"Bush, Cori",repcori,MO,D
456830,MT,2,Nay,Rep. Matthew Rosendale [R],Republican,Matt Rosendale R-MT,reprosendale,MT,R
456831,NC,2,Nay,Rep. Deborah Ross [D],Democrat,Deborah Ross D-NC,repdeborahross,NC,D
456832,NC,6,Nay,Rep. Kathy Manning [D],Democrat,Kathy Manning D-NC,repkmanning,NC,D
456835,NM,3,Nay,Rep. Teresa Leger Fernandez [D],Democrat,,,,
456836,NY,2,Yea,Rep. Andrew Garbarino [R],Republican,Andrew Garbarino R-NY,repgarbarino,NY,R
456837,NY,11,Yea,Rep. Nicole Malliotakis [R],Republican,"Malliotakis, Nicole",repmalliotakis,NY,R
456838,NY,15,Nay,Rep. Ritchie Torres [D],Democrat,Ritchie Torres D-NY,repritchie,NY,D
456839,NY,16,Nay,Rep. Jamaal Bowman [D],Democrat,"Bowman, Jamaal",repbowman,NY,D
456841,OK,5,Yea,Rep. Stephanie Bice [R],Republican,"Bice, Stephanie",repbice,OK,R
456842,OR,2,Yea,Rep. Cliff Bentz [R],Republican,"Bentz, Cliff",repbentz,OR,R
456843,SC,1,Yea,Rep. Nancy Mace [R],Republican,"Mace, Nancy",repnancymace,SC,R
456844,TN,1,Yea,Rep. Diana Harshbarger [R],Republican,Diana Harshbarger R-TN,repharshbarger,TN,R
456845,TX,4,Yea,Rep. Patrick “Pat” Fallon [R],Republican,"Fallon, Pat",reppatfallon,TX,R
456846,TX,11,Yea,Rep. August Pfluger [R],Republican,August Pfluger R-TX,reppfluger,TX,R
456847,TX,13,Yea,Rep. Ronny Jackson [R],Republican,"Jackson, Ronny",repronnyjackson,TX,R
456848,TX,22,Yea,Rep. Troy Nehls [R],Republican,"Nehls, Troy",reptroynehls,TX,R
456849,TX,23,Yea,Rep. Ernest “Tony” Gonzales [R],Republican,"Gonzales, Tony",reptonygonzales,TX,R
456850,TX,24,Yea,Rep. Beth Van Duyne [R],Republican,Beth Van Duyne R-TX,repbethvanduyne,TX,R
456851,UT,1,Yea,Rep. Blake Moore [R],Republican,Blake Moore R-UT,repblakemoore,UT,R
456852,UT,4,Yea,Rep. Clarence “Burgess” Owens [R],Republican,Burgess Owens R-UT,repburgessowens,UT,R
456853,VA,5,Nay,Rep. Robert “Bob” Good [R],Republican,Bob Good R-VA,repbobgood,VA,R
456854,WA,10,Nay,Rep. Marilyn Strickland [D],Democrat,Marilyn Strickland D-WA,repstricklandwa,WA,D
456855,WI,5,Yea,Rep. Scott Fitzgerald [R],Republican,"Fitzgerald, Scott",repfitzgerald,WI,R
456859,LA,5,Yea,Rep. Julia Letlow [R],Republican,"Letlow, Julia",repjulialetlow,LA,R
456860,LA,2,Nay,Rep. Troy Carter [D],Democrat,"Carter, Troy",reptroycarter,LA,D
456861,NM,1,Nay,Rep. Melanie Stansbury [D],Democrat,"Stansbury, Melanie ",rep_stansbury,NM,D
456862,TX,6,Yea,Rep. Jake Ellzey [R],Republican,"Ellzey, Jake",repellzey,TX,R
456863,OH,11,Nay,Rep. Shontel Brown [D],Democrat,"Brown, Sherrod",sensherrodbrown,OH,D
456864,OH,15,Yea,Rep. Mike Carey [R],Republican,"Carey, Mike",repmikecarey,OH,R
456865,FL,20,Nay,Rep. Sheila Cherfilus-McCormick [D],Democrat,"Cherfilus-McCormick, Sheila",congresswomansc,FL,D
456868,NE,1,Yea,Rep. Mike Flood [R],Republican,"Flood, Mike",usrepmikeflood,NE,R
456869,MN,1,Yea,Rep. Brad Finstad [R],Republican,"Finstad, Brad",repfinstad,MN,R
456870,AK,0,Not Voting,Rep. Mary Peltola [D],Democrat,"Peltola, Mary",rep_peltola,AK,D
456871,NY,18,Nay,Rep. Patrick Ryan [D],Democrat,"Ryan, Pat",reppatryanny,NY,D
456873,IN,2,Yea,Rep. Rudy Yakym [R],Republican,"Yakym, Rudy",reprudyyakym,IN,R
456878,AL,5,Yea,Rep. Dale Strong [R],Republican,"Strong, Dale",repdalestrong,AL,R
456879,AZ,2,Nay,Rep. Eli Crane [R],Republican,"Crane, Elijah",repelicrane,AZ,R
456880,AZ,6,Yea,Rep. Juan Ciscomani [R],Republican,"Ciscomani, Juan",repciscomani,AZ,R
456881,CA,3,Yea,Rep. Kevin Kiley [R],Republican,"Kiley, Kevin",repkiley,CA,R
456882,CA,13,Yea,Rep. John Duarte [R],Republican,"Duarte, John",repduarteca13,CA,R
456883,CA,15,Nay,Rep. Kevin Mullin [D],Democrat,"Mullin, Kevin",repkevinmullin,CA,D
456884,CA,37,Nay,Rep. Sydney Kamlager-Dove [D],Democrat,"Kamlager-Dove, Sydney",repkamlagerdove,CA,D
456885,CA,42,Nay,Rep. Robert Julio Garcia [D],Democrat,"Garcia, Robert",reprobertgarcia,CA,D
456886,CO,7,Nay,Rep. Brittany Pettersen [D],Democrat,"Pettersen, Brittany",reppettersen,CO,D
456887,CO,8,Nay,Rep. Yadira Caraveo [D],Democrat,"Caraveo, Yadira",repcaraveomd,CO,D
456888,FL,4,Yea,Rep. Aaron Bean [R],Republican,"Bean, Aaron",repaaronbean,FL,R
456889,FL,7,Yea,Rep. Cory Mills [R],Republican,"Mills, Cory",repmillspress,FL,R
456890,FL,10,Nay,Rep. Maxwell Frost [D],Democrat,"Frost, Maxwell",repmaxwellfrost,FL,D
456891,FL,13,Yea,Rep. Anna Paulina Luna [R],Republican,"Luna, Anna Paulina",repluna,FL,R
456892,FL,15,Not Voting,Rep. Laurel Lee [R],Republican,"Lee, Laurel",replaurellee,FL,R
456893,FL,23,Not Voting,Rep. Jared Moskowitz [D],Democrat,"Moskowitz, Jared",repmoskowitz,FL,D
456894,GA,6,Yea,Rep. Rich McCormick [R],Republican,"McCormick, Richard",repmccormick,GA,R
456895,GA,10,Yea,Rep. Mike Collins [R],Republican,"Collins, Mike",repmikecollins,GA,R
