person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412391,WV,,Yea,Sen. Joe Manchin [I],Democrat,Joseph Manchin D-WV,sen_joemanchin,WV,D
412428,IN,,Nay,"Sen. Todd Young [R, 2017-2028]",Republican,Todd Young R-IN,sentoddyoung,IN,R
412464,OK,,Nay,"Sen. James Lankford [R, 2015-2028]",Republican,James Lankford R-OK,senatorlankford,OK,R
412471,SC,,Nay,"Sen. Tim Scott [R, 2013-2028]",Republican,"Scott, Tim",senatortimscott,SC,R
412490,CT,,Yea,"Sen. Richard Blumenthal [D, 2011-2028]",Democrat,"Blumenthal, Richard",senblumenthal,CT,D
412491,FL,,Nay,"Sen. Marco Rubio [R, 2011-2028]",Republican,"Rubio, Marco",marcorubio,FL,R
412492,KY,,Nay,"Sen. Rand Paul [R, 2011-2028]",Republican,"Paul, Rand",randpaul,KY,R
412494,ND,,Nay,"Sen. John Hoeven [R, 2011-2028]",Republican,"Hoeven, John",senjohnhoeven,ND,R
412495,UT,,Nay,"Sen. Mike Lee [R, 2011-2028]",Republican,"Lee, Mike",senmikelee,UT,R
412496,WI,,Nay,"Sen. Ron Johnson [R, 2011-2028]",Republican,"Johnson, Ron",senronjohnson,WI,R
412507,HI,,Yea,"Sen. Brian Schatz [D, 2012-2028]",Democrat,Brian Schatz D-HI,senbrianschatz,HI,D
412508,AR,,Nay,Sen. Tom Cotton [R],Republican,"Cotton, Tom",sentomcotton,AR,R
412509,AZ,,Yea,Sen. Kyrsten Sinema [I],Democrat,Kyrsten Sinema D-AZ,repsinema,AZ,D
412533,IL,,Yea,"Sen. Tammy Duckworth [D, 2017-2028]",Democrat,"Duckworth, Tammy",senduckworth,IL,D
412542,MA,,Yea,Sen. Elizabeth Warren [D],Democrat,Elizabeth Warren D-MA,senwarren,MA,D
412545,ME,,Yea,Sen. Angus King [I],Independent,Angus King I-ME,senangusking,ME,I
412549,MT,,Nay,Sen. Steve Daines [R],Republican,"Daines, Steve",stevedaines,MT,R
412555,ND,,Nay,Sen. Kevin Cramer [R],Republican,"Cramer, Kevin",senkevincramer,ND,R
412556,NE,,Nay,Sen. Deb Fischer [R],Republican,Deb Fischer R-NE,senatorfischer,NE,R
412573,TX,,Nay,Sen. Ted Cruz [R],Republican,"Cruz, Ted",sentedcruz,TX,R
412582,VA,,Yea,Sen. Timothy “Tim” Kaine [D],Democrat,"Kaine, Tim",timkaine,VA,D
412598,NJ,,Yea,Sen. Cory Booker [D],Democrat,"Booker, Cory ",corybooker,NJ,D
